Centro,Almacén,Material,N° Pallet,Lote,Fecha,Stock,UN,Bloqueado,Antiguedad_dias
P109,I93,930101927,1001324907,24C09FJALB,09.03.24,10,UN,,585
P109,I93,930101927,1001362759,24E08FJALA,08.05.24,10,UN,,525
P109,I93,930101928,1001476364,25B01FJHLD,01.02.25,10,UN,,256
P109,I93,930101926,1001476558,25B08FJNLD,08.02.25,10,UN,,249
P109,I93,930102055,1001516664,25C31AJAEB,31.03.25,10,UN,,198
P109,I93,930101927,1001324941,24C09FJALG,09.03.24,9,UN,,585
P109,I93,930101926,1001327754,24C15FJNLA,15.03.24,9,UN,,579
P109,I93,930101926,1001380067,24F01FJNLB,01.06.24,9,UN,,501
P109,I93,930101926,1001383755,24F17FJNLC,17.06.24,9,UN,,485
P109,I93,930101926,1001391389,24G12FJNLC,12.07.24,9,UN,,460
P109,I93,930101928,1001476375,25B01FJHLE,01.02.25,9,UN,,256
P109,I93,930101928,1001476379,25B03FJHLA,03.02.25,9,UN,,254
P109,I93,930101928,1001476409,25B03FJHLF,03.02.25,9,UN,,254
P109,I93,930101928,1001476420,25B04FJHLB,04.02.25,9,UN,,253
P109,I93,930101928,1001476444,25B04FJHLF,04.02.25,9,UN,,253
P109,I93,930101926,1001476473,25B05FJNLC,05.02.25,9,UN,,252
P109,I93,930101926,1001476479,25B05FJNLD,05.02.25,9,UN,,252
P109,I93,930101926,1001476500,25B06FJNLE,06.02.25,9,UN,,251
P109,I93,930101926,1001476516,25B07FJNLC,07.02.25,9,UN,,250
P109,I93,930101926,1001476522,25B07FJNLD,07.02.25,9,UN,,250
P109,I93,930101926,1001476542,25B08FJNLA,08.02.25,9,UN,,249
P109,I93,930102055,1001505679,25C21AJAEA,21.03.25,9,UN,,208
P109,I93,920100669,1001614222,25J07GJIEA,07.10.25,9,UN,,8
P109,I93,920100669,1001614510,25J08GJIEA,08.10.25,9,UN,,7
P109,I93,920100669,1001614808,25J07GJPEA,07.10.25,9,UN,,8
